grid_id,year,built_share,built_pct
G001076,2014,0.0,0.0
G001076,2015,0.0,0.0
G001076,2016,0.0,0.0
G001076,2017,0.0,0.0
G001076,2018,0.0,0.0
G001076,2019,0.0,0.0
G001076,2020,0.0,0.0
G001076,2021,0.0,0.0
G001076,2022,0.0,0.0
G001076,2023,0.0,0.0
G001076,2024,0.0,0.0
G001076,2025,0.0,0.0
G001077,2014,0.020634674509803917,2.063467450980392
G001077,2015,0.020634674509803917,2.063467450980392
G001077,2016,0.02063728078431372,2.063728078431372
G001077,2017,0.020639887058823525,2.0639887058823527
G001077,2018,0.020642493333333328,2.0642493333333327
G001077,2019,0.020645099607843134,2.064509960784313
G001077,2020,0.020647705882352936,2.0647705882352936
G001077,2021,0.021859220392156858,2.185922039215686
G001077,2022,0.02307073490196078,2.307073490196078
G001077,2023,0.024282249411764704,2.4282249411764703
G001077,2024,0.025493763921568626,2.5493763921568626
G001077,2025,0.026705278431372548,2.670527843137255
G001078,2014,0.0,0.0
G001078,2015,0.0,0.0
G001078,2016,0.0,0.0
G001078,2017,0.0,0.0
G001078,2018,0.0,0.0
G001078,2019,0.0,0.0
G001078,2020,0.0,0.0
G001078,2021,0.0,0.0
G001078,2022,0.0,0.0
G001078,2023,0.0,0.0
G001078,2024,0.0,0.0
G001078,2025,0.0,0.0
G001079,2014,0.005709964705882353,0.5709964705882353
G001079,2015,0.005709964705882353,0.5709964705882353
G001079,2016,0.005745661176470588,0.5745661176470588
G001079,2017,0.005781357647058823,0.5781357647058823
G001079,2018,0.005817054117647059,0.5817054117647059
G001079,2019,0.005852750588235294,0.5852750588235294
G001079,2020,0.005888447058823529,0.5888447058823529
G001079,2021,0.005888447058823529,0.5888447058823529
G001079,2022,0.005888447058823529,0.5888447058823529
G001079,2023,0.005888447058823529,0.5888447058823529
G001079,2024,0.005888447058823529,0.5888447058823529
G001079,2025,0.005888447058823529,0.5888447058823529
G001080,2014,0.0818228156862745,8.18228156862745
G001080,2015,0.0818228156862745,8.18228156862745
G001080,2016,0.08286138509803921,8.286138509803921
G001080,2017,0.08389995450980392,8.389995450980392
G001080,2018,0.08493852392156861,8.493852392156862
G001080,2019,0.08597709333333332,8.597709333333333
G001080,2020,0.08701566274509803,8.701566274509803
G001080,2021,0.08743514980392156,8.743514980392156
G001080,2022,0.08785463686274508,8.785463686274507
G001080,2023,0.08827412392156861,8.82741239215686
G001080,2024,0.08869361098039213,8.869361098039214
G001080,2025,0.08911309803921566,8.911309803921567
G001081,2014,0.0,0.0
G001081,2015,0.0,0.0
G001081,2016,0.0,0.0
G001081,2017,0.0,0.0
G001081,2018,0.0,0.0
G001081,2019,0.0,0.0
G001081,2020,0.0,0.0
G001081,2021,6.035294117647059e-05,0.006035294117647059
G001081,2022,0.00012070588235294118,0.012070588235294118
G001081,2023,0.00018105882352941177,0.018105882352941177
G001081,2024,0.00024141176470588235,0.024141176470588235
G001081,2025,0.00030176470588235294,0.030176470588235294
G001082,2014,0.0,0.0
G001082,2015,0.0,0.0
G001082,2016,0.0,0.0
G001082,2017,0.0,0.0
G001082,2018,0.0,0.0
G001082,2019,0.0,0.0
G001082,2020,0.0,0.0
G001082,2021,0.0,0.0
G001082,2022,0.0,0.0
G001082,2023,0.0,0.0
G001082,2024,0.0,0.0
G001082,2025,0.0,0.0
G001083,2014,0.0,0.0
G001083,2015,0.0,0.0
G001083,2016,0.0,0.0
G001083,2017,0.0,0.0
G001083,2018,0.0,0.0
G001083,2019,0.0,0.0
G001083,2020,0.0,0.0
G001083,2021,0.0,0.0
G001083,2022,0.0,0.0
G001083,2023,0.0,0.0
G001083,2024,0.0,0.0
G001083,2025,0.0,0.0
G001084,2014,0.0,0.0
G001084,2015,0.0,0.0
G001084,2016,0.0,0.0
G001084,2017,0.0,0.0
G001084,2018,0.0,0.0
G001084,2019,0.0,0.0
G001084,2020,0.0,0.0
G001084,2021,0.0,0.0
G001084,2022,0.0,0.0
G001084,2023,0.0,0.0
G001084,2024,0.0,0.0
G001084,2025,0.0,0.0
G001085,2014,0.00013,0.013
G001085,2015,0.00013,0.013
G001085,2016,0.0001312,0.01312
G001085,2017,0.0001324,0.01324
G001085,2018,0.0001336,0.01336
G001085,2019,0.0001348,0.013479999999999999
G001085,2020,0.000136,0.0136
G001085,2021,0.000136,0.0136
G001085,2022,0.000136,0.0136
G001085,2023,0.000136,0.0136
G001085,2024,0.000136,0.0136
G001085,2025,0.000136,0.0136
G001086,2014,0.0,0.0
G001086,2015,0.0,0.0
G001086,2016,0.0,0.0
G001086,2017,0.0,0.0
G001086,2018,0.0,0.0
G001086,2019,0.0,0.0
G001086,2020,0.0,0.0
G001086,2021,0.0,0.0
G001086,2022,0.0,0.0
G001086,2023,0.0,0.0
G001086,2024,0.0,0.0
G001086,2025,0.0,0.0
G001087,2014,0.0,0.0
G001087,2015,0.0,0.0
G001087,2016,0.0,0.0
G001087,2017,0.0,0.0
G001087,2018,0.0,0.0
G001087,2019,0.0,0.0
G001087,2020,0.0,0.0
G001087,2021,0.0,0.0
G001087,2022,0.0,0.0
G001087,2023,0.0,0.0
G001087,2024,0.0,0.0
G001087,2025,0.0,0.0
G001088,2014,0.0,0.0
G001088,2015,0.0,0.0
G001088,2016,0.0,0.0
G001088,2017,0.0,0.0
G001088,2018,0.0,0.0
G001088,2019,0.0,0.0
G001088,2020,0.0,0.0
G001088,2021,0.0,0.0
G001088,2022,0.0,0.0
G001088,2023,0.0,0.0
G001088,2024,0.0,0.0
G001088,2025,0.0,0.0
G001089,2014,7.001176470588236e-05,0.007001176470588236
G001089,2015,7.001176470588236e-05,0.007001176470588236
G001089,2016,7.074274509803922e-05,0.007074274509803922
G001089,2017,7.147372549019609e-05,0.007147372549019608
G001089,2018,7.220470588235294e-05,0.0072204705882352935
G001089,2019,7.29356862745098e-05,0.00729356862745098
G001089,2020,7.366666666666666e-05,0.007366666666666666
G001089,2021,7.366666666666666e-05,0.007366666666666666
G001089,2022,7.366666666666666e-05,0.007366666666666666
G001089,2023,7.366666666666666e-05,0.007366666666666666
G001089,2024,7.366666666666666e-05,0.007366666666666666
G001089,2025,7.366666666666666e-05,0.007366666666666666
G001090,2014,0.0,0.0
G001090,2015,0.0,0.0
G001090,2016,0.0,0.0
G001090,2017,0.0,0.0
G001090,2018,0.0,0.0
G001090,2019,0.0,0.0
G001090,2020,0.0,0.0
G001090,2021,0.0,0.0
G001090,2022,0.0,0.0
G001090,2023,0.0,0.0
G001090,2024,0.0,0.0
G001090,2025,0.0,0.0
G001091,2014,0.0,0.0
G001091,2015,0.0,0.0
G001091,2016,0.0,0.0
G001091,2017,0.0,0.0
G001091,2018,0.0,0.0
G001091,2019,0.0,0.0
G001091,2020,0.0,0.0
G001091,2021,0.0,0.0
G001091,2022,0.0,0.0
G001091,2023,0.0,0.0
G001091,2024,0.0,0.0
G001091,2025,0.0,0.0
G001092,2014,0.008775780392156863,0.8775780392156863
G001092,2015,0.008775780392156863,0.8775780392156863
G001092,2016,0.009564852549019608,0.9564852549019608
G001092,2017,0.010353924705882353,1.0353924705882354
G001092,2018,0.011142996862745098,1.1142996862745098
G001092,2019,0.011932069019607843,1.1932069019607843
G001092,2020,0.012721141176470588,1.2721141176470587
G001092,2021,0.01286001725490196,1.286001725490196
G001092,2022,0.012998893333333334,1.2998893333333335
G001092,2023,0.013137769411764706,1.3137769411764706
G001092,2024,0.01327664549019608,1.327664549019608
G001092,2025,0.013415521568627452,1.3415521568627453
G001093,2014,3.3e-05,0.0033000000000000004
G001093,2015,3.3e-05,0.0033000000000000004
G001093,2016,3.3e-05,0.0033000000000000004
G001093,2017,3.3e-05,0.0033000000000000004
G001093,2018,3.3e-05,0.0033000000000000004
G001093,2019,3.3e-05,0.0033000000000000004
G001093,2020,3.3e-05,0.0033000000000000004
G001093,2021,3.3e-05,0.0033000000000000004
G001093,2022,3.3e-05,0.0033000000000000004
G001093,2023,3.3e-05,0.0033000000000000004
G001093,2024,3.3e-05,0.0033000000000000004
G001093,2025,3.3e-05,0.0033000000000000004
G001094,2014,0.0,0.0
G001094,2015,0.0,0.0
G001094,2016,0.0,0.0
G001094,2017,0.0,0.0
G001094,2018,0.0,0.0
G001094,2019,0.0,0.0
G001094,2020,0.0,0.0
G001094,2021,0.0,0.0
G001094,2022,0.0,0.0
G001094,2023,0.0,0.0
G001094,2024,0.0,0.0
G001094,2025,0.0,0.0
G001095,2014,0.0,0.0
G001095,2015,0.0,0.0
G001095,2016,0.0,0.0
G001095,2017,0.0,0.0
G001095,2018,0.0,0.0
G001095,2019,0.0,0.0
G001095,2020,0.0,0.0
G001095,2021,0.0,0.0
